condition,agent,block,cumulative_perceived_reward
healthy,26,5,1497.8525190552623
healthy,27,1,1041.0108114590157
healthy,27,2,456.57499867074796
healthy,27,3,948.5331300249627
healthy,27,4,1178.8412196237687
healthy,27,5,1505.0504368873649
healthy,28,1,1046.6083819627167
healthy,28,2,451.81824688817176
healthy,28,3,935.2611965340251
healthy,28,4,1162.5475144810696
healthy,28,5,1485.8842093056392
healthy,29,1,1050.9333575031321
healthy,29,2,464.28186012841724
healthy,29,3,952.7763259925225
healthy,29,4,1174.1781955055471
healthy,29,5,1520.7914074016837
healthy,30,1,1045.9685128112574
healthy,30,2,453.86397415802975
healthy,30,3,942.7779749991965
healthy,30,4,1162.4270612530413
healthy,30,5,1481.2609054147852
healthy,31,1,1046.2204700084767
healthy,31,2,452.690261377138
healthy,31,3,932.8230968758651
healthy,31,4,1149.9797646927846
healthy,31,5,1487.6126326520116
healthy,32,1,1049.0119185554527
healthy,32,2,463.89085792556887
healthy,32,3,946.0932971976918
healthy,32,4,1165.5295999786024
healthy,32,5,1491.0495368222876
healthy,33,1,1053.3970737215143
healthy,33,2,461.1575021460354
healthy,33,3,963.4196231502792
healthy,33,4,1197.1477156860574
healthy,33,5,1513.1784989431883
healthy,34,1,1046.9538065908405
healthy,34,2,451.7480825299388
healthy,34,3,943.6986476286638
healthy,34,4,1160.4837102064516
healthy,34,5,1484.7280914552975
healthy,35,1,1052.576225771691
healthy,35,2,477.3290932779361
healthy,35,3,960.0595425479432
healthy,35,4,1189.0784753781008
healthy,35,5,1512.589084430979
healthy,36,1,1043.245903287097
healthy,36,2,454.2602917038995
healthy,36,3,942.3349090186279
healthy,36,4,1174.7163869690273
healthy,36,5,1502.2610956141903
healthy,37,1,1044.979393410667
healthy,37,2,450.79080237261934
healthy,37,3,931.9901472316918
healthy,37,4,1145.006224412371
healthy,37,5,1470.890680295178
healthy,38,1,1052.8131688585565
healthy,38,2,460.82054899069743
healthy,38,3,948.084813586767
healthy,38,4,1173.7594020648814
healthy,38,5,1497.517526146618
healthy,39,1,1046.9090117543951
healthy,39,2,448.6499345989785
healthy,39,3,929.7271059915377
healthy,39,4,1140.4460425930777
healthy,39,5,1456.1519637299739
healthy,40,1,1049.0615098347387
healthy,40,2,449.0068886849746
healthy,40,3,932.5679983457776
healthy,40,4,1146.082162796794
healthy,40,5,1478.8953805861731
healthy,41,1,1042.808921634841
healthy,41,2,457.47655344822516
healthy,41,3,948.3790291774487
healthy,41,4,1166.205360066821
healthy,41,5,1490.4115461788008
healthy,42,1,1042.9916757259089
healthy,42,2,454.11749681907
healthy,42,3,927.0976357694151
healthy,42,4,1140.8202189168073
healthy,42,5,1465.6673084895135
healthy,43,1,1048.4383627696293
healthy,43,2,456.2707771158986
healthy,43,3,947.1995234069049
healthy,43,4,1165.859269847389
healthy,43,5,1493.788279831008
healthy,44,1,1047.9741709106265
healthy,44,2,465.1147396670449
healthy,44,3,951.49490424384
healthy,44,4,1165.5932611833236
healthy,44,5,1490.1385266686889
healthy,45,1,1042.8302954062374
healthy,45,2,441.01704205259995
healthy,45,3,933.6099869824086
healthy,45,4,1156.2034156005834
healthy,45,5,1494.441924887353
healthy,46,1,1053.6900892406481
healthy,46,2,476.5177828746412
healthy,46,3,965.661782545482
healthy,46,4,1186.5161460942818
healthy,46,5,1521.0674124212248
healthy,47,1,1051.7072684876712
healthy,47,2,461.2819809456026
healthy,47,3,955.6289337561033
healthy,47,4,1176.3031464252215
healthy,47,5,1507.7340725982642
healthy,48,1,1046.2127185609497
healthy,48,2,468.0743035372351
healthy,48,3,949.6890002388234
healthy,48,4,1163.1520743381018
healthy,48,5,1491.9434323688674
healthy,49,1,1049.8967669461376
healthy,49,2,480.42203819368086
healthy,49,3,965.4574906412876
healthy,49,4,1180.2908561486688
healthy,49,5,1513.1264848163542
healthy,50,1,1044.2467300270825
healthy,50,2,479.5758351710131
healthy,50,3,963.1732355390693
healthy,50,4,1183.2606194940236
healthy,50,5,1519.767559915987
depleted,1,1,95.00898253953692
depleted,1,2,231.35888105860195
depleted,1,3,345.5091484282567
depleted,1,4,471.9744512822534
depleted,1,5,614.0167794138399
depleted,2,1,95.60025527128809
depleted,2,2,230.4083224705576
depleted,2,3,344.18025079847405
depleted,2,4,472.29268485199765
depleted,2,5,614.736364525014
depleted,3,1,95.91840880691997
depleted,3,2,230.35904264129198
depleted,3,3,344.6726653229934
